Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
17:18.9,-2.636016028,9.038111267,2.240972754,2.320610687,2.145038168,1.977099237,23.19
17:19.0,-2.655169641,9.011775049,2.37983645,2.236641221,-6.236641221,-2.65648855,23.19
17:19.1,-2.348711829,8.870517151,2.303221997,3.290076336,-13.5648855,-8.396946565,23.17
17:19.2,-2.200271326,9.176974963,2.545036365,0.465648855,-8.290076336,-6.267175573,23.21
17:19.4,-2.415749475,8.817844714,2.674323254,-6.778625954,4.030534351,1.549618321,23.19
17:19.5,-2.439691492,8.779537488,2.528276953,-11.47328244,22.29007634,8.557251908,23.19
17:19.6,-2.822763757,8.674192615,1.980004773,-9.267175573,25.03816794,4.732824427,23.21
17:19.7,-3.105279553,8.532934717,1.496376038,3.221374046,56.04580153,-4.65648855,23.19
17:19.8,-3.031059302,8.097190015,1.781286035,13.83969466,27.81679389,8.992366412,23.21
17:20.0,-2.604891406,9.387664709,1.80283385,7.549618321,21.22137405,48.67938931,23.21
17:20.1,-3.184288208,12.05480536,2.128445276,-6.007633588,24.95419847,54.75572519,23.21
17:20.2,-4.003105176,8.516175305,2.35110603,-27.06870229,32.26717557,23.33587786,23.21
17:20.3,-1.470039819,8.947131604,1.541865869,-57.35114504,78.92366412,-71.51145038,23.21
17:20.4,-1.625662927,6.768408093,2.015917798,-41.30534351,55.93129771,-59.67938931,23.19
17:20.6,-0.890643018,6.105214233,2.758120313,-10.61832061,43.12977099,16.80916031,23.17
17:20.7,-3.402160559,10.57518873,2.89937821,14.77862595,23.07633588,97.29770992,23.21
17:20.8,-6.440402466,9.473855969,2.264914771,19.16030534,4.007633588,76.0610687,23.19
17:20.9,-4.807556934,9.090783704,1.388636963,-9.58778626,-54.32061069,-53.45038168,23.17
17:21.1,-2.482787122,9.18655177,0.337582434,-25.69465649,-69.18320611,-102.2671756,23.19
17:21.2,-1.127668982,8.252813123,0.445321509,-24.28244275,-25.89312977,-89.00763359,23.21
17:21.3,-1.036689319,13.8456682,1.580173096,-20.16030534,42.98473282,0.458015267,23.21
17:21.4,-3.016694092,7.534552625,3.586514087,-8.213740458,2.20610687,4.824427481,23.21
17:21.5,-1.651999146,7.955932117,2.89937821,-11.86259542,95.4351145,86.32061069,23.21
17:21.7,-4.244919543,8.362946399,0.768538733,13.60305344,85.79389313,111.2519084,23.19
17:21.8,-5.55215365,10.9534726,1.618480322,6.908396947,92.63358779,56.98473282,23.21
17:21.9,-7.465120776,10.55603512,2.061407629,-4.778625954,24.88549618,-23.78625954,23.19
17:22.0,-4.003105176,9.897629663,0.876277808,-15.70992366,-201.4961832,-78.02290076,23.19
17:22.2,-1.256955872,8.602366565,0.268150586,-63.89312977,-2.961832061,-86.52671756,23.19
17:22.3,-2.248155359,10.92474218,-0.205901343,-30.19847328,22.05343511,-45.03053435,23.19
17:22.4,-1.953668555,5.430049365,4.089296436,32.4351145,19.52671756,25.41221374,23.17
17:22.6,-1.065419739,8.161833459,2.980781067,16.71755725,8.465648855,57.9389313,23.19
17:22.7,-4.556165759,7.814674219,3.019088293,3.091603053,51.84732824,122.5954198,23.17
17:22.8,-5.224148022,9.801861597,1.941697546,16.90076336,-17.90076336,25.93129771,23.21
17:23.0,-6.483498096,11.14500873,2.286462585,26.27480916,-98.36641221,-28.88549618,23.19
17:23.1,-3.80678064,10.42435403,0.452504114,-19.57251908,-122.129771,-76.71755725,23.19
17:23.2,-2.102109058,10.31900916,-0.627280835,-40.72519084,-51.06870229,-131.8244275,23.21
17:23.4,-1.513135449,12.30619653,-0.770932935,-12.85496183,-45.3129771,-91.14503817,23.19
17:23.5,3.174711401,4.108450049,6.270414148,11.96183206,-82.65648855,10.52671756,23.21
17:23.6,-2.042254016,7.685387329,4.970362646,23.40458015,63.44274809,116.3740458,23.17
17:23.8,-3.722983582,7.474697583,4.927267017,3.305343511,28.67175573,106.7099237,23.21
17:23.9,-4.122815259,8.394071021,4.687846851,12.48091603,33.77099237,37.74045802,23.19
17:24.0,-6.117185242,10.22324109,3.373430139,26.4351145,-19.09923664,-22.57251908,23.21
17:24.2,-3.270479468,8.813056311,1.886630908,29.92366412,-107.8320611,-91.7480916,23.23
17:24.3,-1.752555615,9.227253198,1.314416711,-0.145038168,-28.48091603,-114.4656489,23.23
17:24.4,-1.374271753,10.88882915,2.217030737,-4.106870229,-21.17557252,-66.52671756,23.23
17:24.6,-0.423773694,7.852981445,4.477157104,18.95419847,43.64885496,53.90839695,23.23
17:24.7,-1.158793604,7.287949854,1.043871924,1.473282443,44.19083969,88.52671756,23.21
17:24.8,-4.170699292,7.491456995,1.683123767,8.244274809,113.4732824,98.58015267,23.23
17:24.9,-3.682282153,9.945513696,2.152387292,11.09160305,62.22137405,59.9389313,23.23
17:25.1,-7.599196069,10.64701478,3.213018628,10.24427481,-28.6259542,-20.20610687,23.23
17:25.2,-3.82114585,10.01494554,1.405396375,-15.36641221,-60.16793893,-102.8167939,23.27
17:25.3,-1.644816541,9.026140259,0.746990918,-29.09923664,-19.58778626,-125.4656489,23.23
17:25.5,-0.974440076,8.135497241,0.624886633,-13.39694656,-8.748091603,-46.61832061,23.27
17:25.6,-1.074996545,11.88481704,1.905784521,-2.229007634,28.22900763,114.9007634,23.29
17:25.7,-3.375824341,9.686939917,2.600103003,-10.61832061,10.65648855,83.71755725,23.27
17:25.9,-3.495534424,7.855375647,1.007958899,-10.76335878,123.6641221,79.19847328,23.27
17:26.0,-5.173869788,9.054870679,1.726219397,3.572519084,49.04580153,44.03816794,23.27
17:26.1,-5.418078357,8.781931689,2.628833423,11.83206107,16.61068702,-46.04580153,23.31
