Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
12:30.4,-1.675941162,8.217698165,4.121219124,0.58524173,-1.48346056,-4.625954198,23.95
12:30.5,-1.899399984,8.331821777,4.207410384,-2.473282443,10.79389313,-6.320610687,23.95
12:30.5,-1.988783512,8.538521187,4.231352401,-3,19.3307888,-8.152671756,23.95
12:30.5,-2.122858805,8.324639172,3.924096521,-2.575063613,6.575063613,-7.178117048,23.95666667
12:30.6,-1.928130404,8.240842114,3.746127531,-0.374045802,-10.35114504,-4.480916031,23.96333333
12:30.6,-1.756545951,8.126718502,3.689464758,0.287531807,-19.11450382,-3.017811705,23.97
12:30.7,-1.859496623,8.217698165,4.101267444,-0.478371501,-7.061068702,0.633587786,23.96333333
12:30.7,-2.145204687,8.277553206,4.245717611,-1.590330789,0.152671756,0.081424936,23.95666667
12:30.7,-2.559401575,8.382100012,4.327120467,-2.340966921,-2.837150127,-0.847328244,23.95666667
12:30.9,-2.677515523,8.415618835,4.342283744,-2.65394402,-9.592875318,-3.531806616,23.96333333
12:30.9,-2.347913761,8.31107203,4.303178451,-2.145038168,-12.52417303,-4.119592875,23.97666667
12:31.0,-1.940899479,8.225678837,4.241727275,-1.450381679,-9.302798982,-3.13740458,23.97666667
12:31.1,-1.708661918,8.16741993,4.304774585,-0.989821883,2.832061069,0.063613232,23.97
12:31.1,-1.727815531,8.172208333,4.405331055,-1.338422392,17.79389313,2.541984733,23.95666667
12:31.2,-1.964043429,8.133901107,4.465186096,-2.824427481,34.18829517,2.921119593,23.96333333
12:31.4,-2.355894434,8.065267326,4.03343173,-1.402035623,31.31806616,4.781170483,23.97666667
12:31.4,-2.794831405,8.068459595,3.856260807,6.521628499,17.49872774,4.592875318,23.99
12:31.5,-3.135606108,8.216900098,3.704628035,13.17302799,0.666666667,4.814249364,23.99
12:31.7,-3.252921989,8.304687492,3.7980019,18.18320611,-11.86768448,0.72264631,23.98333333
12:31.7,-3.141192578,8.568049674,3.758896606,14.53180662,-11.23918575,-0.763358779,23.97
12:31.7,-2.866657454,8.617529842,3.713406775,11.22391858,-11.0178117,-0.928753181,23.95666667
12:31.8,-2.664746448,8.785123958,3.780444421,4.353689567,-4.475826972,-0.870229008,23.95
12:31.8,-2.545834432,8.797893034,3.678291817,-2.513994911,-7.992366412,-3.748091603,23.95
12:31.8,-2.256136031,8.953516142,3.466005937,-7.852417303,-12.44529262,-7.081424936,23.95
12:31.9,-1.84592948,9.188945972,3.288036947,-10.27480916,-11.83715013,-7.776081425,23.95
12:31.9,-1.640826204,9.174580762,3.131615771,-9.234096692,-5.778625954,-7.295165394,23.95
12:32.0,-1.607307381,8.880093958,3.17790367,-6.814249364,-2.20610687,-5.923664122,23.95
12:32.0,-1.598528642,8.471483541,3.2209993,-3.870229008,-3.842239186,-4.287531807,23.96333333
12:32.1,-1.449290072,8.097190015,3.277662073,-1.012722646,-3.554707379,-0.127226463,23.97666667
